Values,Best Case,Worst Case,Average Case
1000,0.0006679999996777042,0.0015120000002752931,0.0038220000001274457
10000,0.007726999999704276,0.03032900000016525,0.06946599999992031
20000,0.016211999999995896,0.09766899999976886,0.2084460000000945
50000,0.042026999999961845,0.5092949999998382,1.1210680000003777
75000,0.06677700000000186,1.097139999999854,2.12583099999938
100000,0.08576300000095216,1.7727620000005118,3.9654849999988073
